iter	Passed	Remaining
1622	54293	112969
1623	54324	112929
1624	54356	112894
1625	54387	112854
1626	54417	112816
1627	54449	112778
1628	54481	112742
1629	54514	112707
1630	54546	112670
1631	54576	112630
1632	54608	112594
1633	54639	112556
1634	54671	112519
1635	54704	112484
1636	54738	112453
1637	54770	112415
1638	54801	112378
1639	54835	112345
1640	54868	112310
1641	54904	112282
1642	54937	112249
1643	54969	112212
1644	54998	112169
1645	55029	112132
1646	55060	112093
1647	55091	112054
1648	55124	112021
1649	55159	111989
1650	55194	111959
1651	55225	111922
1652	55257	111886
1653	55287	111846
1654	55317	111805
1655	55348	111766
1656	55382	111734
1657	55418	111706
1658	55451	111671
1659	55480	111630
1660	55510	111588
1661	55538	111545
